id,completed,decision jumps,jump value,run value,jump moves,moves,falls,jumps,time,totalTime
0,0,2,10,0.025,0,0,161,540,60.7397,1503.48
1,0,2,10,0.05,0,0,122,410,49.9177,1144.06
2,0,2,10,0.075,0,0,81,274,36.1229,773.794
3,0,2,10,0.1,0,0,74,240,32.9998,681.128
4,0,2,10,0.125,0,0,61,186,28.9415,536.736
5,0,2,10,0.15,0,0,56,174,27.1045,499.332
6,0,2,10,0.175,0,0,49,148,28.6576,431.024
7,0,2,10,0.2,0,0,43,136,26.8205,398.723
8,0,2,10,0.225,0,0,43,122,26.8205,357.557
9,0,2,10,0.25,0,0,41,116,26.8205,341.382
10,0,2,10,0.275,0,0,33,100,21.7936,296.711
11,0,2,10,0.3,0,0,33,98,21.7936,289.6
12,0,2,10,0.325,0,0,31,88,21.7936,263.008
13,0,2,10,0.35,0,0,30,84,21.7936,250.788
14,0,2,10,0.375,0,0,15,58,18.0359,175.218
15,0,2,10,0.4,0,0,15,58,18.0359,175.218
16,0,2,10,0.425,0,0,15,56,18.0359,172.965
17,0,2,10,0.45,0,0,15,54,18.0359,165.854
18,0,2,10,0.475,0,0,15,48,15.5476,149.478
19,0,2,10,0.5,0,0,13,46,15.5476,144.069
20,0,2,10,0.525,0,0,11,42,15.5476,128.494
21,0,2,10,0.55,0,0,11,42,15.5476,128.494
22,0,2,10,0.575,0,0,10,38,15.5476,120.679
23,0,2,10,0.6,0,0,10,38,15.5476,120.679
24,0,2,10,0.625,0,0,10,38,15.5476,120.679
25,0,2,10,0.65,0,0,10,38,15.5476,120.679
26,0,2,10,0.675,0,0,10,38,15.5476,120.679
27,0,2,10,0.7,0,0,10,36,15.5476,115.318
28,0,2,10,0.725,0,0,10,36,16.8001,114.115
29,0,2,10,0.75,0,0,10,36,16.8001,114.115
30,0,2,10,0.775,0,0,10,36,16.8001,114.115
31,0,2,10,0.8,0,0,10,36,16.8001,114.115
32,0,2,10,0.825,0,0,10,36,16.8001,114.115
33,0,2,10,0.85,0,0,10,36,16.8001,114.115
34,0,2,10,0.875,0,0,10,36,16.8001,114.115
35,0,2,10,0.9,0,0,10,36,16.8001,114.115
36,0,2,10,0.925,0,0,10,36,16.8001,114.115
37,0,2,10,0.95,0,0,11,34,17.1007,109.656
38,0,2,10,0.975,0,0,11,34,17.1007,109.656
39,0,2,10,1,0,0,7,28,16.75,88.5298
40,0,4,10,0.025,0,0,1002,2144,234.262,5467.79
41,0,4,10,0.05,0,0,768,1628,193.514,4169.9
42,0,4,10,0.075,0,0,534,1096,141.181,2843.91
43,0,4,10,0.1,0,0,462,960,126.641,2495.46
44,0,4,10,0.125,0,0,346,732,109.022,1903.37
45,0,4,10,0.15,0,0,341,692,103.444,1827.23
46,0,4,10,0.175,0,0,102,288,25.1672,684.155
47,0,4,10,0.2,0,0,255,528,97.5816,1409.58
48,0,4,10,0.225,0,0,85,236,27.5053,567.759
49,0,4,10,0.25,0,0,81,232,29.0584,556.437
50,0,4,10,0.275,0,0,73,204,22.8959,489.75
51,0,4,10,0.3,0,0,72,200,22.8959,475.644
52,0,4,10,0.325,0,0,63,176,20.6246,426.884
53,0,4,10,0.35,0,0,61,168,20.6246,405.517
54,0,4,10,0.375,0,0,59,160,20.6246,389.408
55,0,4,10,0.4,0,0,84,204,40.2646,510.917
56,0,4,10,0.425,0,0,78,184,40.131,467.749
57,0,4,10,0.45,0,0,79,184,40.3147,467.932
58,0,4,10,0.475,0,0,45,128,22.7957,317.561
59,0,4,10,0.5,0,0,45,132,23.1464,323.988
60,0,4,10,0.525,0,0,42,128,23.5973,312.052
61,0,4,10,0.55,0,0,40,124,23.5973,306.042
62,0,4,10,0.575,0,0,41,120,23.9313,301.118
63,0,4,10,0.6,0,0,42,116,23.5973,288.348
64,0,4,10,0.625,0,0,35,104,21.7602,258.3
65,0,4,10,0.65,0,0,35,104,21.7602,260.554
66,0,4,10,0.675,0,0,36,104,22.3948,260.554
67,0,4,10,0.7,0,0,57,144,34.3359,368.091
68,0,4,10,0.725,0,0,64,140,34.3359,366.421
69,0,4,10,0.75,0,0,57,136,34.3359,357.908
70,0,4,10,0.775,0,0,56,132,34.3359,346.139
71,0,4,10,0.8,0,0,56,132,34.3359,346.139
72,0,4,10,0.825,0,0,56,128,33.9017,335.806
73,0,4,10,0.85,0,0,54,124,33.9017,328.044
74,0,4,10,0.875,0,0,53,124,33.9017,328.044
75,0,4,10,0.9,0,0,53,124,33.9017,328.044
76,0,4,10,0.925,0,0,38,96,24.5659,253.225
77,0,4,10,0.95,0,0,41,96,24.8833,256.631
78,0,4,10,0.975,0,0,36,92,25.1338,245.196
79,0,4,10,1,0,0,36,92,25.1338,245.196
80,0,6,10,0.025,0,0,1443,3216,189.341,7810.92
81,0,6,10,0.05,0,0,1081,2424,149.878,5894.37
82,0,6,10,0.075,0,0,758,1644,116.053,4045.09
83,0,6,10,0.1,0,0,630,1446,102.141,3547.89
84,0,6,10,0.125,0,0,522,1128,86.6092,2787.98
85,0,6,10,0.15,0,0,464,1038,89.8658,2573.66
86,0,6,10,0.175,0,0,395,864,78.7766,2157.01
87,0,6,10,0.2,0,0,381,822,92.0703,2064.25
88,0,6,10,0.225,0,0,330,720,73.7997,1796.9
89,0,6,10,0.25,0,0,301,672,80.7973,1685.77
90,0,6,10,0.275,0,0,284,600,65.6498,1513.41
91,0,6,10,0.3,0,0,256,576,63.3284,1432.42
92,0,6,10,0.325,0,0,242,528,67.1027,1324.3
93,0,6,10,0.35,0,0,233,522,63.3284,1307.23
94,0,6,10,0.375,0,0,211,462,61.2241,1154.52
95,0,6,10,0.4,0,0,218,474,70.3093,1201.05
96,0,6,10,0.425,0,0,132,336,42.6194,795.585
97,0,6,10,0.45,0,0,120,312,46.5107,749.377
98,0,6,10,0.475,0,0,119,294,44.3897,708.622
99,0,6,10,0.5,0,0,123,282,40.0475,681.58
100,0,6,10,0.525,0,0,172,372,67.5871,977.621
