id,completed,population size,population elitism,mutation change,mutation max,tournament,visited segments impact,generations,jump moves,moves,falls,jumps,time,totalTime
0,1,200,0.25,0.01,0.05,0.4,5,137,29,53,28323,540082,5016.08,524288
1,1,200,0.25,0.01,0.05,0.4,10,223,53,122,69216,1009485,10447.5,524288
2,1,200,0.25,0.01,0.05,0.4,15,120,43,93,29498,629757,5963.01,524288
3,1,200,0.25,0.01,0.05,0.5,5,174,37,78,48546,859656,8163.29,524288
4,1,200,0.25,0.01,0.05,0.5,10,219,36,70,94922,1153391,10004.1,524288
5,1,200,0.25,0.01,0.05,0.5,15,121,37,90,22572,537721,5209.29,524288
6,1,200,0.25,0.01,0.05,0.6,5,81,32,67,14473,345351,3031.64,524288
7,1,200,0.25,0.01,0.05,0.6,10,89,43,102,27846,559568,4866.13,524288
8,1,200,0.25,0.01,0.05,0.6,15,93,57,116,28502,585282,4774.67,524288
9,1,200,0.375,0.01,0.05,0.4,5,108,28,68,26063,474335,4558.01,524288
10,1,200,0.375,0.01,0.05,0.4,10,112,49,93,28753,611610,5193.27,524288
11,1,200,0.375,0.01,0.05,0.4,15,69,46,87,26713,438440,3428.99,524288
12,1,200,0.375,0.01,0.05,0.5,5,53,36,66,7865,206530,1776.14,407558
13,1,200,0.375,0.01,0.05,0.5,10,62,40,84,9454,274355,2417.6,524288
14,1,200,0.375,0.01,0.05,0.5,15,92,43,89,25849,512089,4645.07,524288
15,0,200,0.375,0.01,0.05,0.6,5,223,0,0,72645,1111340,11080.5,524288
16,1,200,0.375,0.01,0.05,0.6,10,101,54,115,25212,626426,5245.1,524288
17,1,200,0.375,0.01,0.05,0.6,15,88,51,113,25895,574701,5057.95,524288
18,1,200,0.5,0.01,0.05,0.4,5,46,35,62,6375,146845,1290.69,244138
19,1,200,0.5,0.01,0.05,0.4,10,121,66,149,39331,859624,7147.83,524288
20,1,200,0.5,0.01,0.05,0.4,15,87,38,86,25094,500402,4540.31,524288
21,0,200,0.5,0.01,0.05,0.5,5,249,0,0,74657,1031656,11540.5,524288
22,1,200,0.5,0.01,0.05,0.5,10,44,39,83,5982,182900,1754.28,399390
23,1,200,0.5,0.01,0.05,0.5,15,84,34,70,16678,359487,3453.57,524288
24,1,200,0.5,0.01,0.05,0.6,5,49,35,69,8169,261380,2177.09,524288
25,1,200,0.5,0.01,0.05,0.6,10,91,62,131,21628,671151,5359.02,524288
26,1,200,0.5,0.01,0.05,0.6,15,82,57,118,32130,536342,4219.4,524288
27,1,250,0.25,0.01,0.05,0.4,5,118,57,111,36584,800297,5602.01,524288
28,1,250,0.25,0.01,0.05,0.4,10,147,35,79,48964,763833,6231.01,524288
29,1,250,0.25,0.01,0.05,0.4,15,136,36,85,50263,873120,6383.37,524288
30,0,250,0.25,0.01,0.05,0.5,5,236,0,0,64081,1090237,9049,524288
31,1,250,0.25,0.01,0.05,0.5,10,68,48,98,23102,507081,3571.84,524288
32,0,250,0.25,0.01,0.05,0.5,15,153,0,0,52849,1161297,8594.26,524288
33,1,250,0.25,0.01,0.05,0.6,5,159,30,70,53351,946777,6995.93,524288
34,1,250,0.25,0.01,0.05,0.6,10,173,39,97,66819,1127734,8472.26,524288
35,1,250,0.25,0.01,0.05,0.6,15,111,36,92,23257,632132,5404.85,524288
36,1,250,0.375,0.01,0.05,0.4,5,55,41,75,9737,321853,2330.34,524288
37,1,250,0.375,0.01,0.05,0.4,10,108,41,101,39975,727320,5790.57,524288
38,1,250,0.375,0.01,0.05,0.4,15,84,42,86,44159,581735,4148.36,524288
39,0,250,0.375,0.01,0.05,0.5,5,255,0,0,82607,1273956,9088.97,524288
40,1,250,0.375,0.01,0.05,0.5,10,89,43,77,23304,546968,3682.11,524288
41,1,250,0.375,0.01,0.05,0.5,15,89,45,88,27312,729638,4884.44,524288
42,0,250,0.375,0.01,0.05,0.6,5,222,0,0,75747,1242250,9210.08,524288
43,1,250,0.375,0.01,0.05,0.6,10,72,34,67,34893,439297,3320.76,524288
44,1,250,0.375,0.01,0.05,0.6,15,61,42,73,17808,363109,2596.35,524288
45,1,250,0.5,0.01,0.05,0.4,5,151,42,98,49866,976824,6907.73,524288
46,1,250,0.5,0.01,0.05,0.4,10,69,49,78,21771,472751,2910.45,524288
47,1,250,0.5,0.01,0.05,0.4,15,69,43,87,19779,510799,3696.85,524288
48,1,250,0.5,0.01,0.05,0.5,5,45,33,74,10365,269087,1884.49,524288
49,1,250,0.5,0.01,0.05,0.5,10,99,42,96,46687,841980,5649.84,524288
50,1,250,0.5,0.01,0.05,0.5,15,68,43,90,15094,454199,3259.83,524288
51,1,250,0.5,0.01,0.05,0.6,5,205,38,82,62381,1348990,9380.89,524288
52,0,250,0.5,0.01,0.05,0.6,10,184,0,0,105352,1784076,12527.3,524288
53,1,250,0.5,0.01,0.05,0.6,15,99,34,81,38492,700103,5265.02,524288
54,0,300,0.25,0.01,0.05,0.4,5,179,0,0,83666,1185327,7667,524288
55,0,300,0.25,0.01,0.05,0.4,10,181,0,0,116148,1343787,8000.33,524288
56,1,300,0.25,0.01,0.05,0.4,15,90,38,90,40237,842848,5122.31,524288
57,1,300,0.25,0.01,0.05,0.5,5,86,36,74,29038,607647,3502.55,524288
58,0,300,0.25,0.01,0.05,0.5,10,145,0,0,54618,1169413,6993.94,524288
59,0,300,0.25,0.01,0.05,0.5,15,135,0,0,55350,1163414,6970.83,524288
60,0,300,0.25,0.01,0.05,0.6,5,193,0,0,67468,1265104,7498.46,524288
61,1,300,0.25,0.01,0.05,0.6,10,68,35,77,20912,459281,2852.61,524288
62,1,300,0.25,0.01,0.05,0.6,15,74,42,88,31560,695465,3768.25,524288
63,0,300,0.375,0.01,0.05,0.4,5,171,0,0,58920,1268931,7324.16,524288
64,1,300,0.375,0.01,0.05,0.4,10,111,44,89,33358,837862,5428.39,524288
65,0,300,0.375,0.01,0.05,0.4,15,150,0,0,59974,1219975,7490.72,524288
66,1,300,0.375,0.01,0.05,0.5,5,139,34,83,79592,945242,6229.1,524288
67,1,300,0.375,0.01,0.05,0.5,10,65,37,84,15856,447037,2699.86,524288
68,1,300,0.375,0.01,0.05,0.5,15,106,38,73,33537,873641,4899.54,524288
69,1,300,0.375,0.01,0.05,0.6,5,98,33,67,28496,634921,4076.38,524288
70,1,300,0.375,0.01,0.05,0.6,10,58,48,89,17783,440088,2515.09,524288
71,1,300,0.375,0.01,0.05,0.6,15,75,32,70,30791,574380,3404.9,524288
72,1,300,0.5,0.01,0.05,0.4,5,76,33,76,22634,599796,3787.63,524288
73,1,300,0.5,0.01,0.05,0.4,10,65,38,69,32317,518539,3021.72,524288
74,1,300,0.5,0.01,0.05,0.4,15,83,46,105,33156,857893,4883.56,524288
75,0,300,0.5,0.01,0.05,0.5,5,198,0,0,74396,1385472,9122.04,524288
