id,completed,bots,epsilon,moves,falls,jumps,time,totalTime
0,1,10,0.05,2410,7915,24100,4685.92,46767.7
0,1,10,0.05,656,2113,6560,1284.6,12774.9
0,1,10,0.05,1825,6549,18250,3799.85,38428.1
0,1,10,0.05,728,2550,7280,1498.88,14902
0,1,10,0.05,2250,7754,22500,4522.08,45225.7
0,1,10,0.05,370,1382,3700,774.964,7715.84
0,1,10,0.05,530,1608,5300,955.964,9512.56
0,1,10,0.05,135,434,1350,256.547,2564.91
0,1,10,0.05,189,689,1890,411.059,4101.45
0,1,10,0.05,722,2126,7220,1377.15,13693.7
0,1,10,0.05,299,1027,2990,585.452,5834.58
0,1,10,0.05,2640,8840,26400,5155.55,51187.7
0,1,10,0.05,258,780,2580,459.185,4580.02
0,1,10,0.05,5589,19344,55890,11173.6,107828
0,1,10,0.05,745,3261,7450,1765.17,17614
0,1,10,0.05,1001,3546,10010,2134.84,21506.2
0,1,10,0.05,997,3252,9970,1974.05,19809.4
0,1,10,0.05,1087,4411,10870,2445.59,24796.5
0,1,10,0.05,705,2612,7050,1394.46,13865.5
0,1,10,0.05,1055,3939,10550,2207.64,22277.1
0,1,10,0.05,1503,4729,15030,2924.08,29862.9
0,1,10,0.05,1347,4488,13470,2706.24,27556.4
0,1,10,0.05,216,732,2160,435.731,4346.82
0,1,10,0.05,232,710,2320,449.486,4483.57
1,1,10,0.1,6801,25279,68010,13765.8,132225
1,1,10,0.1,719,2725,7190,1454.08,14457.4
1,1,10,0.1,945,3382,9450,1886.23,18886.4
1,1,10,0.1,2265,8069,22650,4534.58,45343.3
1,1,10,0.1,5305,19296,53050,10773.2,104060
1,1,10,0.1,178,581,1780,342.367,3418.33
1,1,10,0.1,1780,6217,17800,3652.34,37039.8
1,1,10,0.1,2488,9180,24880,5055.39,50245.1
1,1,10,0.1,1857,6949,18570,3779.15,38233.3
1,1,10,0.1,6594,23908,65940,13163.5,126557
1,1,10,0.1,1958,7445,19580,4141.84,41646.9
1,1,10,0.1,3816,13358,38160,7612.33,74310.4
1,1,10,0.1,2272,8186,22720,4540.66,45400.5
1,1,10,0.1,473,1776,4730,919.34,9149
1,1,10,0.1,1557,5843,15570,3076.9,31481
1,1,10,0.1,3609,13576,36090,7602,74213.2
1,1,10,0.1,2874,10777,28740,5875.21,57961
1,1,10,0.1,1051,3819,10510,2090.25,21034.1
1,1,10,0.1,2681,9799,26810,5385.53,53352.3
1,1,10,0.1,770,2870,7700,1573.32,15641.1
1,1,10,0.1,246,864,2460,462.757,4615.63
1,1,10,0.1,209,658,2090,402.362,4014.92
1,1,10,0.1,1337,4607,13370,2576.73,26184.9
1,1,10,0.1,865,3176,8650,1853.87,18546.3
2,1,10,0.15,7988,29034,79880,15754.3,150941
2,1,10,0.15,941,3483,9410,1859.38,18604.1
2,1,10,0.15,3080,11432,30800,6093.27,60013.3
2,1,10,0.15,1802,6221,18020,3520.53,35799.3
2,1,10,0.15,1337,4927,13370,2603.52,26468.7
2,1,10,0.15,885,3036,8850,1657.54,16482.5
2,1,10,0.15,1794,6335,17940,3445.19,35090.2
2,1,10,0.15,5845,21507,58450,11617.1,112003
2,1,10,0.15,11588,42372,115880,23410.9,219328
2,1,10,0.15,1840,6685,18400,3672.76,37232
2,1,10,0.15,6521,23539,65210,12943.9,124490
2,1,10,0.15,688,2308,6880,1323.58,13161.9
2,1,10,0.15,5649,20932,56490,11375.1,109725
2,1,10,0.15,3309,12431,33090,6796.66,66633.5
2,1,10,0.15,1437,5080,14370,2747.86,27997
2,1,10,0.15,3159,11803,31590,6366.45,62584.5
2,1,10,0.15,1524,5391,15240,2934.82,29976.6
2,1,10,0.15,3100,11497,31000,6317.49,62123.6
2,1,10,0.15,366,1337,3660,736.935,7338.3
2,1,10,0.15,4904,17531,49040,9742,94354.2
2,1,10,0.15,7763,28235,77630,15457.6,148149
2,1,10,0.15,9709,35330,97090,19251,182352
2,1,10,0.15,10592,38572,105920,21341.7,200936
2,1,10,0.15,1816,6391,18160,3590.47,36457.6
3,1,10,0.2,4129,14302,41290,8004.94,78005.5
3,1,10,0.2,11524,39928,115240,22434.4,210649
3,0,10,0.2,12794,45366,127941,25067.8,234057
3,1,10,0.2,4484,15877,44840,8639.39,83976.8
3,1,10,0.2,2733,9606,27330,5232.58,51912.7
3,0,10,0.2,12654,45086,126550,25126.9,234582
3,1,10,0.2,1456,4783,14560,2764.52,28173.4
3,1,10,0.2,2005,7182,20050,3890.16,39278.2
3,1,10,0.2,10553,37067,105530,20344.5,192072
3,1,10,0.2,2690,9321,26900,5144.16,51080.5
3,1,10,0.2,2772,9471,27720,5331.69,52845.4
3,0,10,0.2,13507,46207,135070,25999.7,242340
3,1,10,0.2,2771,9790,27710,5226.2,51852.6
3,1,10,0.2,5394,19085,53940,10468.6,101193
3,1,10,0.2,8998,32481,89980,17646.5,168090
3,1,10,0.2,741,2549,7410,1404.29,13963.1
3,1,10,0.2,2542,8725,25420,4972.43,49464.2
3,1,10,0.2,688,2287,6880,1335.74,13282.6
3,1,10,0.2,11963,41378,119630,23140,216921
3,1,10,0.2,1116,3785,11160,2208.09,22281.7
3,1,10,0.2,6542,22878,65420,12643.1,121659
3,1,10,0.2,3368,11865,33680,6511.17,63946.4
3,1,10,0.2,11996,40763,119960,23106.8,216626
3,0,10,0.2,13424,45427,134240,25944.4,241849
4,1,10,0.25,8037,27029,80370,14972.9,143587
4,1,10,0.25,9066,29825,90660,16925.3,161679
4,1,10,0.25,11458,38666,114580,21840.3,205368
4,0,10,0.25,13673,44512,136740,26027.4,242586
4,1,10,0.25,2490,7945,24900,4606.04,46015.8
4,0,10,0.25,13792,45868,137930,26332.6,245299
4,1,10,0.25,7267,24196,72670,13604,130702
4,0,10,0.25,13821,46313,138220,26444.4,246293
4,0,10,0.25,13879,46006,138790,26656.9,248182
4,1,10,0.25,13210,43833,132100,25093.4,234284
4,0,10,0.25,13866,45761,138670,26361.3,245554
4,1,10,0.25,3032,9867,30320,5653.05,55870
4,1,10,0.25,13408,43333,134080,25491.9,237827
4,0,10,0.25,13995,45903,139957,26688.3,248461
4,0,10,0.25,14009,46882,140100,26672.7,248323
4,0,10,0.25,13694,45314,136950,26416.8,246048
4,1,10,0.25,11193,37201,111930,21081.2,198620
4,1,10,0.25,569,2010,5690,1110.34,11045.1
4,1,10,0.25,7642,25104,76420,14414.8,138334
4,0,10,0.25,13634,44861,136350,26276.7,244803
4,0,10,0.25,13805,45851,138060,26361.9,245560
4,1,10,0.25,9995,32538,99950,18573.6,176330
4,0,10,0.25,13345,45408,133456,25973,242103
4,1,10,0.25,4937,16104,49370,9206.53,89314.6
5,0,10,0.3,14813,44357,148140,27631.4,256844
5,0,10,0.3,14373,45426,143740,27165.5,252703
5,0,10,0.3,14436,45797,144366,27268.8,253621
5,0,10,0.3,14807,44533,148080,27705,257498
5,0,10,0.3,14714,45752,147140,27580.7,256394
5,0,10,0.3,14679,44969,146800,27599.4,256560
5,0,10,0.3,14792,45807,147920,27547.2,256095
5,1,10,0.3,13062,39990,130620,24179.8,226163
5,0,10,0.3,14600,45416,146010,27375.4,254569
5,1,10,0.3,4853,14589,48530,8770.77,85213.4
5,0,10,0.3,14458,45327,144585,27176.3,252799
5,0,10,0.3,14630,45840,146310,27381.7,254625
5,1,10,0.3,9350,28598,93500,17062.4,162898
5,0,10,0.3,14683,46403,146840,27325.9,254129
5,0,10,0.3,14589,45664,145900,27330.3,254168
5,0,10,0.3,14695,44777,146960,27505.7,255727
5,0,10,0.3,14761,45235,147610,27516.8,255826
5,0,10,0.3,14447,46296,144480,27096.6,252090
5,1,10,0.3,4142,12564,41420,7510.93,73355.9
5,0,10,0.3,13870,43759,138710,25987.5,242231
5,0,10,0.3,14462,45630,144630,27093.5,252063
5,0,10,0.3,14482,45276,144830,27189.1,252913
5,1,10,0.3,1937,6305,19370,3626.63,36797.8
5,1,10,0.3,8927,28874,89270,16676.4,159466
6,0,10,0.35,15364,44274,153650,28280.5,263085
6,0,10,0.35,15380,44344,153802,28269.7,262892
6,0,10,0.35,15320,43749,153210,28380.6,264864
6,0,10,0.35,15284,44567,152843,28202.7,261923
6,0,10,0.35,15035,45208,150360,27900.8,259239
6,0,10,0.35,15582,44489,155830,28457.7,266235
6,1,10,0.35,2288,6555,22880,4140.16,41631.1
6,1,10,0.35,11046,33269,110460,20236.6,191112
6,0,10,0.35,15197,45105,151980,28117.9,261169
6,1,10,0.35,12607,35641,126070,23178,217259
6,0,10,0.35,15315,45250,153160,28226.6,262135
6,1,10,0.35,9957,30097,99570,18239.2,173358
6,0,10,0.35,15391,44391,153920,28375.7,264776
6,0,10,0.35,15102,45364,151026,27862.2,258896
6,0,10,0.35,15326,44421,153260,28250.3,262548
6,0,10,0.35,15690,43822,156910,28713.5,270782
6,0,10,0.35,15208,44289,152090,28106.4,261066
6,1,10,0.35,10303,29455,103030,18634.1,176868
6,0,10,0.35,15272,45101,152730,28132.1,261295
6,0,10,0.35,15287,43961,152870,28261.9,262753
6,1,10,0.35,6481,20052,64810,11776.4,113501
6,0,10,0.35,15111,44755,151111,28039.6,260472
6,0,10,0.35,15422,44657,154223,28431.6,265770
6,0,10,0.35,15332,44662,153320,28354.9,264408
7,0,10,0.4,16079,43887,160790,29208.9,279588
7,0,10,0.4,15686,43864,156862,28751.6,271459
7,0,10,0.4,16028,44053,160290,29224.4,279864
7,0,10,0.4,15673,43363,156740,28792.2,272180
7,0,10,0.4,15968,42383,159686,29172.8,278948
7,0,10,0.4,15765,42957,157660,28913.8,274342
7,0,10,0.4,16043,43841,160438,29190.8,279267
7,0,10,0.4,15400,43804,154000,28293.4,263314
7,0,10,0.4,15426,43878,154270,28401.9,265242
7,0,10,0.4,15945,42687,159460,28955.6,275086
7,0,10,0.4,15989,42701,159900,29052.3,276804
7,0,10,0.4,16080,42239,160810,29134.2,278262
7,0,10,0.4,15888,42302,158882,29040.9,276602
7,0,10,0.4,15885,43502,158860,28963,275218
7,0,10,0.4,15678,43918,156790,28721.5,270924
7,0,10,0.4,15752,43415,157530,28696.2,270474
7,0,10,0.4,15534,44219,155350,28489.6,266802
7,0,10,0.4,15780,43533,157800,28815.9,272602
7,0,10,0.4,15561,43046,155620,28471.1,266473
7,0,10,0.4,15497,41439,154980,28238.9,262344
7,0,10,0.4,15659,43114,156590,28609.3,268929
7,0,10,0.4,15823,44195,158240,28810.4,272504
7,0,10,0.4,15812,42702,158129,28775.8,271888
7,0,10,0.4,15603,44021,156040,28535.9,267624
8,1,10,0.45,13115,33439,131150,23517.3,220274
8,0,10,0.45,16407,41463,164080,29684.5,288044
8,0,10,0.45,16664,40491,166650,29965.6,293042
8,0,10,0.45,16643,41191,166430,29861.9,291198
8,0,10,0.45,16561,41276,165611,29795.8,290023
8,0,10,0.45,16337,41861,163380,29604.7,286626
8,1,10,0.45,4440,11556,44400,7866.5,76702.5
8,0,10,0.45,16132,42096,161322,29267.7,280634
8,0,10,0.45,16564,40833,165650,29755.9,289313
8,0,10,0.45,16494,41191,164945,29778.8,289721
8,0,10,0.45,16203,42254,162040,29383.8,282698
8,0,10,0.45,16761,40917,167616,30099,295413
8,0,10,0.45,16462,42069,164630,29648.4,287402
8,0,10,0.45,16477,41464,164780,29698.4,288291
8,0,10,0.45,16395,42335,163960,29612.7,286768
8,0,10,0.45,16541,41482,165420,29831.2,290653
8,0,10,0.45,16344,42119,163446,29614.6,286802
8,0,10,0.45,16445,41631,164460,29722.1,288712
8,0,10,0.45,16828,40181,168290,30193.1,297086
8,0,10,0.45,16482,41575,164830,29761.8,289418
8,0,10,0.45,16541,41988,165420,29846.6,290926
8,0,10,0.45,16547,41396,165479,29847.5,290942
8,0,10,0.45,16431,41753,164320,29748.5,289182
8,0,10,0.45,16754,40679,167540,30171.2,296696
9,0,10,0.5,16852,40644,168524,30193.9,297100
9,0,10,0.5,16804,40592,168050,30195,297120
9,0,10,0.5,16691,40759,166920,29984.5,293377
9,0,10,0.5,16837,40000,168380,30236.7,297862
9,0,10,0.5,17086,39799,170860,30555,303519
9,0,10,0.5,17068,39897,170680,30657.5,305342
9,0,10,0.5,17189,39414,171900,30658.4,305358
9,0,10,0.5,17058,38324,170588,30450.3,301659
9,0,10,0.5,16818,40506,168190,30223,297618
9,0,10,0.5,17169,39707,171690,30667.5,305520
9,1,10,0.5,3872,9303,38720,6810.09,66759.9
9,0,10,0.5,16911,39998,169110,30326.2,299453
9,0,10,0.5,17075,39977,170760,30574.5,303867
9,0,10,0.5,16985,39550,169860,30419.2,301105
9,0,10,0.5,16794,41087,167947,30150.1,296322
9,0,10,0.5,16798,40823,167980,30209.1,297371
9,0,10,0.5,16963,40230,169640,30390.2,300590
9,0,10,0.5,16851,40201,168517,30223.1,297620
9,0,10,0.5,16759,40414,167590,30205,297298
9,0,10,0.5,16147,41067,161480,29214.9,279695
9,0,10,0.5,16839,40714,168390,30229.5,297732
