id,ukoñczony poziom,pseudonim,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
0,1,adkrz,7,75,330.0471191,7,75,330.0471191
1,1,dafab,110,675,1857.485229,110,675,1857.485229
2,1,igkor,51,413,858.1645508,51,413,858.1645508
3,1,jabak,36,250,689.8913574,36,250,689.8913574
4,1,jabar,105,642,1536.99353,105,642,1536.99353
5,1,kacic,128,874,2292.77417,128,874,2292.77417
6,1,kapro,98,673,1643.924438,98,673,1643.924438
7,1,katyl,26,199,447.6835022,26,199,447.6835022
8,1,klsam,107,608,2247.236084,107,608,2247.236084
9,1,krnie,73,466,1246.320068,73,466,1246.320068
10,1,mabol,132,772,2213.534912,132,772,2213.534912
11,1,mafra,12,93,226.5164185,12,93,226.5164185
12,1,makoz,91,647,1657.374756,91,647,1657.374756
13,1,maput,1,31,55.42891312,1,31,55.42891312
14,1,mawlo,54,372,821.5565186,54,372,821.5565186
15,1,mikar,66,405,756.9364014,66,405,756.9364014
16,1,miput,25,170,352.6996765,25,170,352.6996765
17,1,moput,96,598,2849.374756,96,598,2849.374756
18,1,nasta,12,94,477.8646545,12,94,477.8646545
19,1,papas,102,679,1278.212036,102,679,1278.212036
20,1,paput,22,142,403.0628052,22,142,403.0628052
21,1,prmar,83,677,1895.966309,83,677,1895.966309
22,1,rarad,61,293,907.4825439,61,293,907.4825439
23,1,szsta,85,558,1653.406738,85,558,1653.406738
24,0,kukra,171,1249,3486.326904,171,1249,3486.326904
25,0,zephy,79,431,1137.516113,79,431,1137.516113
26,0,jajus,71,355,1075.587681,71,355,1075.587681
27,0,ardzi,218,1308,4647.678112,218,1308,4647.678112
28,0,misob,113,678,2346.626936,113,678,2346.626936
29,0,lemar,80,480,1385.469932,80,480,1385.469932
30,0,jasta,186,930,2650.451311,186,930,2650.451311
31,0,miwoj,92,552,1833.466435,92,552,1833.466435
32,0,japut,208,1040,3512.967028,208,1040,3512.967028
33,0,jaols,135,675,2514.915434,135,675,2514.915434
34,0,alsil,94,470,1366.987081,94,470,1366.987081
35,0,mamal,267,1602,5281.980246,267,1602,5281.980246
36,0,igsar,268,1608,5864.162708,268,1608,5864.162708
37,0,pasze,75,450,1368.289299,75,450,1368.289299
38,0,piosta,71,355,1054.192087,71,355,1054.192087
39,0,miter,150,750,2389.007218,150,750,2389.007218
40,0,jakra,107,642,2199.741867,107,642,2199.741867
41,0,adper,187,935,3245.593448,187,935,3245.593448
42,0,miplu,105,630,2052.61747,105,630,2052.61747
43,0,lubes,194,970,2836.987125,194,970,2836.987125
44,0,lusok,237,1422,5182.076607,237,1422,5182.076607
45,0,boput,190,950,3503.300791,190,950,3503.300791
46,0,fikon,79,395,1220.593072,79,395,1220.593072
47,0,apsta,155,930,3268.778778,155,930,3268.778778
48,0,krchm,82,410,1231.00867,82,410,1231.00867
49,0,papec,111,555,1607.929642,111,555,1607.929642
50,0,adtom,114,570,1745.632416,114,570,1745.632416
