id,ukoñczony poziom,decyzyjne skoki,wartoœæ skoku decyzyjnego,wartoœæ ruchu decyzyjnego,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
0,0,2,10,0.025,0,0,0,60.7397,161,540,60.7397
1,0,2,10,0.05,0,0,0,49.9177,122,410,49.9177
2,0,2,10,0.075,0,0,0,36.1229,81,274,36.1229
3,0,2,10,0.1,0,0,0,32.9998,74,240,32.9998
4,0,2,10,0.125,0,0,0,28.9415,61,186,28.9415
5,0,2,10,0.15,0,0,0,27.1045,56,174,27.1045
6,0,2,10,0.175,0,0,0,28.6576,49,148,28.6576
7,0,2,10,0.2,0,0,0,26.8205,43,136,26.8205
8,0,2,10,0.225,0,0,0,26.8205,43,122,26.8205
9,0,2,10,0.25,0,0,0,26.8205,41,116,26.8205
10,0,2,10,0.275,0,0,0,21.7936,33,100,21.7936
11,0,2,10,0.3,0,0,0,21.7936,33,98,21.7936
12,0,2,10,0.325,0,0,0,21.7936,31,88,21.7936
13,0,2,10,0.35,0,0,0,21.7936,30,84,21.7936
14,0,2,10,0.375,0,0,0,18.0359,15,58,18.0359
15,0,2,10,0.4,0,0,0,18.0359,15,58,18.0359
16,0,2,10,0.425,0,0,0,18.0359,15,56,18.0359
17,0,2,10,0.45,0,0,0,18.0359,15,54,18.0359
18,0,2,10,0.475,0,0,0,15.5476,15,48,15.5476
19,0,2,10,0.5,0,0,0,15.5476,13,46,15.5476
20,0,2,10,0.525,0,0,0,15.5476,11,42,15.5476
21,0,2,10,0.55,0,0,0,15.5476,11,42,15.5476
22,0,2,10,0.575,0,0,0,15.5476,10,38,15.5476
23,0,2,10,0.6,0,0,0,15.5476,10,38,15.5476
24,0,2,10,0.625,0,0,0,15.5476,10,38,15.5476
25,0,2,10,0.65,0,0,0,15.5476,10,38,15.5476
26,0,2,10,0.675,0,0,0,15.5476,10,38,15.5476
27,0,2,10,0.7,0,0,0,15.5476,10,36,15.5476
28,0,2,10,0.725,0,0,0,16.8001,10,36,16.8001
29,0,2,10,0.75,0,0,0,16.8001,10,36,16.8001
30,0,2,10,0.775,0,0,0,16.8001,10,36,16.8001
31,0,2,10,0.8,0,0,0,16.8001,10,36,16.8001
32,0,2,10,0.825,0,0,0,16.8001,10,36,16.8001
33,0,2,10,0.85,0,0,0,16.8001,10,36,16.8001
34,0,2,10,0.875,0,0,0,16.8001,10,36,16.8001
35,0,2,10,0.9,0,0,0,16.8001,10,36,16.8001
36,0,2,10,0.925,0,0,0,16.8001,10,36,16.8001
37,0,2,10,0.95,0,0,0,17.1007,11,34,17.1007
38,0,2,10,0.975,0,0,0,17.1007,11,34,17.1007
39,0,2,10,1,0,0,0,16.75,7,28,16.75
40,0,4,10,0.025,0,0,0,234.262,1002,2144,234.262
41,0,4,10,0.05,0,0,0,193.514,768,1628,193.514
42,0,4,10,0.075,0,0,0,141.181,534,1096,141.181
43,0,4,10,0.1,0,0,0,126.641,462,960,126.641
44,0,4,10,0.125,0,0,0,109.022,346,732,109.022
45,0,4,10,0.15,0,0,0,103.444,341,692,103.444
46,0,4,10,0.175,0,0,0,25.1672,102,288,25.1672
47,0,4,10,0.2,0,0,0,97.5816,255,528,97.5816
48,0,4,10,0.225,0,0,0,27.5053,85,236,27.5053
49,0,4,10,0.25,0,0,0,29.0584,81,232,29.0584
50,0,4,10,0.275,0,0,0,22.8959,73,204,22.8959
51,0,4,10,0.3,0,0,0,22.8959,72,200,22.8959
52,0,4,10,0.325,0,0,0,20.6246,63,176,20.6246
53,0,4,10,0.35,0,0,0,20.6246,61,168,20.6246
54,0,4,10,0.375,0,0,0,20.6246,59,160,20.6246
55,0,4,10,0.4,0,0,0,40.2646,84,204,40.2646
56,0,4,10,0.425,0,0,0,40.131,78,184,40.131
57,0,4,10,0.45,0,0,0,40.3147,79,184,40.3147
58,0,4,10,0.475,0,0,0,22.7957,45,128,22.7957
59,0,4,10,0.5,0,0,0,23.1464,45,132,23.1464
60,0,4,10,0.525,0,0,0,23.5973,42,128,23.5973
61,0,4,10,0.55,0,0,0,23.5973,40,124,23.5973
62,0,4,10,0.575,0,0,0,23.9313,41,120,23.9313
63,0,4,10,0.6,0,0,0,23.5973,42,116,23.5973
64,0,4,10,0.625,0,0,0,21.7602,35,104,21.7602
65,0,4,10,0.65,0,0,0,21.7602,35,104,21.7602
66,0,4,10,0.675,0,0,0,22.3948,36,104,22.3948
67,0,4,10,0.7,0,0,0,34.3359,57,144,34.3359
68,0,4,10,0.725,0,0,0,34.3359,64,140,34.3359
69,0,4,10,0.75,0,0,0,34.3359,57,136,34.3359
70,0,4,10,0.775,0,0,0,34.3359,56,132,34.3359
71,0,4,10,0.8,0,0,0,34.3359,56,132,34.3359
72,0,4,10,0.825,0,0,0,33.9017,56,128,33.9017
73,0,4,10,0.85,0,0,0,33.9017,54,124,33.9017
74,0,4,10,0.875,0,0,0,33.9017,53,124,33.9017
75,0,4,10,0.9,0,0,0,33.9017,53,124,33.9017
76,0,4,10,0.925,0,0,0,24.5659,38,96,24.5659
77,0,4,10,0.95,0,0,0,24.8833,41,96,24.8833
78,0,4,10,0.975,0,0,0,25.1338,36,92,25.1338
79,0,4,10,1,0,0,0,25.1338,36,92,25.1338
80,0,6,10,0.025,0,0,0,189.341,1443,3216,189.341
81,0,6,10,0.05,0,0,0,149.878,1081,2424,149.878
82,0,6,10,0.075,0,0,0,116.053,758,1644,116.053
83,0,6,10,0.1,0,0,0,102.141,630,1446,102.141
84,0,6,10,0.125,0,0,0,86.6092,522,1128,86.6092
85,0,6,10,0.15,0,0,0,89.8658,464,1038,89.8658
86,0,6,10,0.175,0,0,0,78.7766,395,864,78.7766
87,0,6,10,0.2,0,0,0,92.0703,381,822,92.0703
88,0,6,10,0.225,0,0,0,73.7997,330,720,73.7997
89,0,6,10,0.25,0,0,0,80.7973,301,672,80.7973
90,0,6,10,0.275,0,0,0,65.6498,284,600,65.6498
91,0,6,10,0.3,0,0,0,63.3284,256,576,63.3284
92,0,6,10,0.325,0,0,0,67.1027,242,528,67.1027
93,0,6,10,0.35,0,0,0,63.3284,233,522,63.3284
94,0,6,10,0.375,0,0,0,61.2241,211,462,61.2241
95,0,6,10,0.4,0,0,0,70.3093,218,474,70.3093
96,0,6,10,0.425,0,0,0,42.6194,132,336,42.6194
97,0,6,10,0.45,0,0,0,46.5107,120,312,46.5107
98,0,6,10,0.475,0,0,0,44.3897,119,294,44.3897
99,0,6,10,0.5,0,0,0,40.0475,123,282,40.0475
100,0,6,10,0.525,0,0,0,67.5871,172,372,67.5871
101,0,6,10,0.55,0,0,0,51.6879,139,330,51.6879
102,0,6,10,0.575,0,0,0,49.7841,141,324,49.7841
103,0,6,10,0.6,0,0,0,49.0158,131,318,49.0158
104,0,6,10,0.625,0,0,0,51.8884,125,306,51.8884
105,0,6,10,0.65,0,0,0,51.8717,120,300,51.8717
106,0,6,10,0.675,0,0,0,51.8717,120,288,51.8717
107,0,6,10,0.7,0,0,0,51.855,124,288,51.855
108,0,6,10,0.725,0,0,0,51.9552,113,276,51.9552
109,0,6,10,0.75,0,0,0,51.9385,111,270,51.9385
110,0,6,10,0.775,0,0,0,21.5431,45,138,21.5431
111,0,6,10,0.8,0,0,0,21.5431,45,138,21.5431
112,0,6,10,0.825,0,0,0,21.3594,44,138,21.3594
113,0,6,10,0.85,0,0,0,21.3594,44,138,21.3594
114,0,6,10,0.875,0,0,0,21.5097,45,144,21.5097
115,0,6,10,0.9,0,0,0,23.9814,45,144,23.9814
116,0,6,10,0.925,0,0,0,24.9167,48,144,24.9167
117,0,6,10,0.95,0,0,0,17.0673,23,90,17.0673
118,0,6,10,0.975,0,0,0,17.0673,24,90,17.0673
119,0,6,10,1,0,0,0,17.0673,24,90,17.0673
120,1,8,10,0.025,97,0,26,194.182,1987,4800,194.182
121,1,8,10,0.05,77,0,26,155.27,1511,3672,155.27
122,1,8,10,0.075,62,0,26,129.246,1078,2512,129.246
123,1,8,10,0.1,60,0,26,123.251,923,2184,123.251
124,1,8,10,0.125,53,0,26,108.788,711,1704,108.788
125,1,8,10,0.15,50,0,26,104.646,642,1560,104.646
126,1,8,10,0.175,49,0,26,102.208,557,1360,102.208
127,1,8,10,0.2,46,0,27,93.874,534,1248,93.874
128,1,8,10,0.225,45,0,27,94.2414,488,1128,94.2414
129,1,8,10,0.25,44,0,26,91.4023,467,1040,91.4023
130,1,8,10,0.275,43,0,25,90.6842,388,920,90.6842
131,1,8,10,0.3,40,0,25,84.0206,381,888,84.0206
132,1,8,10,0.325,42,0,27,89.966,364,840,89.966
133,1,8,10,0.35,38,0,26,80.7472,324,784,80.7472
134,0,8,10,0.375,0,0,0,51.237,190,464,51.237
