id,ukoñczony poziom,rozmiar populacji,elityzm,zmiana wspó³czynnika mutacji,maksymalna wartoœæ wspó³czynnika mutacji,turniej,wspó³czynnik wp³ywu odwiedzonych platform,generacje,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
0,1,200,0.25,0.01,0.05,0.4,5,137,53,0,29,54.8749496,28323,540082,5016.08
1,1,200,0.25,0.01,0.05,0.4,10,223,122,0,53,102.8875136,69216,1009485,10447.5
2,1,200,0.25,0.01,0.05,0.4,15,120,93,0,43,73.92476032,29498,629757,5963.01
3,1,200,0.25,0.01,0.05,0.5,5,174,78,0,37,73.30881917,48546,859656,8163.29
4,1,200,0.25,0.01,0.05,0.5,10,219,70,0,36,62.92182904,94922,1153391,10004.1
5,1,200,0.25,0.01,0.05,0.5,15,121,90,0,37,69.76270155,22572,537721,5209.29
6,1,200,0.25,0.01,0.05,0.6,5,81,67,0,32,59.10253892,14473,345351,3031.64
7,1,200,0.25,0.01,0.05,0.6,10,89,102,0,43,74.56830669,27846,559568,4866.13
8,1,200,0.25,0.01,0.05,0.6,15,93,116,0,57,108.5801528,28502,585282,4774.67
9,1,200,0.375,0.01,0.05,0.4,5,108,68,0,28,55.39365931,26063,474335,4558.01
10,1,200,0.375,0.01,0.05,0.4,10,112,93,0,49,92.72742567,28753,611610,5193.27
11,1,200,0.375,0.01,0.05,0.4,15,69,87,0,46,85.30444851,26713,438440,3428.99
12,1,200,0.375,0.01,0.05,0.5,5,53,66,0,36,57.92451387,7865,206530,1776.14
13,1,200,0.375,0.01,0.05,0.5,10,62,84,0,40,74.81032244,9454,274355,2417.6
14,1,200,0.375,0.01,0.05,0.5,15,92,89,0,43,76.49181171,25849,512089,4645.07
15,0,200,0.375,0.01,0.05,0.6,5,223,0,0,0,0,72645,1111340,11080.5
16,1,200,0.375,0.01,0.05,0.6,10,101,115,0,54,100.7062033,25212,626426,5245.1
17,1,200,0.375,0.01,0.05,0.6,15,88,113,0,51,83.43800065,25895,574701,5057.95
18,1,200,0.5,0.01,0.05,0.4,5,46,62,0,35,67.4017975,6375,146845,1290.69
19,1,200,0.5,0.01,0.05,0.4,10,121,149,0,66,117.3927756,39331,859624,7147.83
20,1,200,0.5,0.01,0.05,0.4,15,87,86,0,38,74.00332978,25094,500402,4540.31
21,0,200,0.5,0.01,0.05,0.5,5,249,0,0,0,0,74657,1031656,11540.5
22,1,200,0.5,0.01,0.05,0.5,10,44,83,0,39,67.59352295,5982,182900,1754.28
23,1,200,0.5,0.01,0.05,0.5,15,84,70,0,34,65.73988071,16678,359487,3453.57
24,1,200,0.5,0.01,0.05,0.6,5,49,69,0,35,60.10452999,8169,261380,2177.09
25,1,200,0.5,0.01,0.05,0.6,10,91,131,0,62,102.0198181,21628,671151,5359.02
26,1,200,0.5,0.01,0.05,0.6,15,82,118,0,57,112.1790223,32130,536342,4219.4
27,1,250,0.25,0.01,0.05,0.4,5,118,111,0,57,95.72239214,36584,800297,5602.01
28,1,250,0.25,0.01,0.05,0.4,10,147,79,0,35,57.47319044,48964,763833,6231.01
29,1,250,0.25,0.01,0.05,0.4,15,136,85,0,36,71.53953956,50263,873120,6383.37
30,0,250,0.25,0.01,0.05,0.5,5,236,0,0,0,0,64081,1090237,9049
31,1,250,0.25,0.01,0.05,0.5,10,68,98,0,48,88.21253478,23102,507081,3571.84
32,0,250,0.25,0.01,0.05,0.5,15,153,0,0,0,0,52849,1161297,8594.26
33,1,250,0.25,0.01,0.05,0.6,5,159,70,0,30,57.759896,53351,946777,6995.93
34,1,250,0.25,0.01,0.05,0.6,10,173,97,0,39,69.74530089,66819,1127734,8472.26
35,1,250,0.25,0.01,0.05,0.6,15,111,92,0,36,70.14587529,23257,632132,5404.85
36,1,250,0.375,0.01,0.05,0.4,5,55,75,0,41,73.09967104,9737,321853,2330.34
37,1,250,0.375,0.01,0.05,0.4,10,108,101,0,41,74.47457326,39975,727320,5790.57
38,1,250,0.375,0.01,0.05,0.4,15,84,86,0,42,72.76116438,44159,581735,4148.36
39,0,250,0.375,0.01,0.05,0.5,5,255,0,0,0,0,82607,1273956,9088.97
40,1,250,0.375,0.01,0.05,0.5,10,89,77,0,43,85.8184974,23304,546968,3682.11
41,1,250,0.375,0.01,0.05,0.5,15,89,88,0,45,87.75017248,27312,729638,4884.44
42,0,250,0.375,0.01,0.05,0.6,5,222,0,0,0,0,75747,1242250,9210.08
43,1,250,0.375,0.01,0.05,0.6,10,72,67,0,34,56.23011636,34893,439297,3320.76
44,1,250,0.375,0.01,0.05,0.6,15,61,73,0,42,78.25829151,17808,363109,2596.35
45,1,250,0.5,0.01,0.05,0.4,5,151,98,0,42,78.19810813,49866,976824,6907.73
46,1,250,0.5,0.01,0.05,0.4,10,69,78,0,49,91.7546685,21771,472751,2910.45
47,1,250,0.5,0.01,0.05,0.4,15,69,87,0,43,81.02067297,19779,510799,3696.85
48,1,250,0.5,0.01,0.05,0.5,5,45,74,0,33,56.0149984,10365,269087,1884.49
49,1,250,0.5,0.01,0.05,0.5,10,99,96,0,42,82.08617293,46687,841980,5649.84
50,1,250,0.5,0.01,0.05,0.5,15,68,90,0,43,70.15381419,15094,454199,3259.83
51,1,250,0.5,0.01,0.05,0.6,5,205,82,0,38,74.7801639,62381,1348990,9380.89
