id,ukoñczony poziom,agenci,prawdopodobieñstwo losowego skoku,wspó³czynnik uczenia,wspó³czynnik dyskontowy,epsilon,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
0,0,25,0.01,0.05,0.1,0.05,0,1,1.888568815,16068,107294,7983.57
0,1,25,0.01,0.05,0.1,0.05,0,25,47.30331603,561,5447,391.979
0,1,25,0.01,0.05,0.1,0.05,0,24,45.1807581,5182,40263,2672.87
0,0,25,0.01,0.05,0.1,0.05,0,1,1.935515426,14976,114171,7788.66
1,1,25,0.01,0.05,0.1,0.1,0,25,47.19158937,3808,22698,2032.83
1,0,25,0.01,0.05,0.1,0.1,0,1,1.932388868,16449,91089,8875.06
1,0,25,0.01,0.05,0.1,0.1,0,1,1.880211345,5444,31097,8678.47
1,0,25,0.01,0.05,0.1,0.1,0,1,1.940817682,7933,69227,9548.07
2,0,25,0.01,0.05,0.1,0.15,0,1,1.966922681,10633,54726,10524.6
2,0,25,0.01,0.05,0.1,0.15,0,1,1.915144031,7744,68075,10169.7
2,0,25,0.01,0.05,0.1,0.15,0,1,1.911837546,10179,61691,9168.43
2,0,25,0.01,0.05,0.1,0.15,0,1,1.996875339,11984,76817,10008.9
3,1,25,0.01,0.05,0.2,0.05,0,24,45.28348503,7924,53602,3565.25
3,1,25,0.01,0.05,0.2,0.05,0,21,41.56755173,13297,103668,7601.69
3,0,25,0.01,0.05,0.2,0.05,0,1,1.911299996,216,1767,9412.57
3,1,25,0.01,0.05,0.2,0.05,0,23,45.75888708,4840,25331,1778.53
4,1,25,0.01,0.05,0.2,0.1,0,21,39.30369924,5485,40650,5231.95
4,0,25,0.01,0.05,0.2,0.1,0,1,1.882378522,11013,86539,8723.26
4,0,25,0.01,0.05,0.2,0.1,0,1,1.879969479,10128,61155,9041.76
4,0,25,0.01,0.05,0.2,0.1,0,1,1.985376234,8834,47047,10562.3
5,0,25,0.01,0.05,0.2,0.15,0,1,1.93308758,12247,66933,10020.5
5,0,25,0.01,0.05,0.2,0.15,0,1,1.990344959,3557,22264,9712.59
