id,ukoñczony poziom,liczba postaci,epsilon,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
0,1,10,0.05,39,2410,4685.92,7915,24100,4685.92
0,1,10,0.05,11,656,1284.6,2113,6560,1284.6
0,1,10,0.05,32,1825,3799.85,6549,18250,3799.85
0,1,10,0.05,8,728,1498.88,2550,7280,1498.88
0,1,10,0.05,22,2250,4522.08,7754,22500,4522.08
0,1,10,0.05,4,370,774.964,1382,3700,774.964
0,1,10,0.05,8,530,955.964,1608,5300,955.964
0,1,10,0.05,2,135,256.547,434,1350,256.547
0,1,10,0.05,2,189,411.059,689,1890,411.059
0,1,10,0.05,8,722,1377.15,2126,7220,1377.15
0,1,10,0.05,3,299,585.452,1027,2990,585.452
0,1,10,0.05,34,2640,5155.55,8840,26400,5155.55
0,1,10,0.05,4,258,459.185,780,2580,459.185
0,1,10,0.05,68,5589,11173.6,19344,55890,11173.6
0,1,10,0.05,12,745,1765.17,3261,7450,1765.17
0,1,10,0.05,15,1001,2134.84,3546,10010,2134.84
0,1,10,0.05,16,997,1974.05,3252,9970,1974.05
0,1,10,0.05,14,1087,2445.59,4411,10870,2445.59
0,1,10,0.05,7,705,1394.46,2612,7050,1394.46
0,1,10,0.05,14,1055,2207.64,3939,10550,2207.64
0,1,10,0.05,20,1503,2924.08,4729,15030,2924.08
0,1,10,0.05,24,1347,2706.24,4488,13470,2706.24
0,1,10,0.05,2,216,435.731,732,2160,435.731
0,1,10,0.05,4,232,449.486,710,2320,449.486
1,1,10,0.1,113,6801,13765.8,25279,68010,13765.8
1,1,10,0.1,9,719,1454.08,2725,7190,1454.08
1,1,10,0.1,18,945,1886.23,3382,9450,1886.23
1,1,10,0.1,33,2265,4534.58,8069,22650,4534.58
1,1,10,0.1,55,5305,10773.2,19296,53050,10773.2
1,1,10,0.1,3,178,342.367,581,1780,342.367
1,1,10,0.1,35,1780,3652.34,6217,17800,3652.34
1,1,10,0.1,38,2488,5055.39,9180,24880,5055.39
1,1,10,0.1,32,1857,3779.15,6949,18570,3779.15
1,1,10,0.1,66,6594,13163.5,23908,65940,13163.5
1,1,10,0.1,28,1958,4141.84,7445,19580,4141.84
1,1,10,0.1,53,3816,7612.33,13358,38160,7612.33
1,1,10,0.1,32,2272,4540.66,8186,22720,4540.66
1,1,10,0.1,6,473,919.34,1776,4730,919.34
1,1,10,0.1,19,1557,3076.9,5843,15570,3076.9
1,1,10,0.1,53,3609,7602,13576,36090,7602
1,1,10,0.1,40,2874,5875.21,10777,28740,5875.21
1,1,10,0.1,11,1051,2090.25,3819,10510,2090.25
1,1,10,0.1,36,2681,5385.53,9799,26810,5385.53
1,1,10,0.1,14,770,1573.32,2870,7700,1573.32
1,1,10,0.1,2,246,462.757,864,2460,462.757
1,1,10,0.1,2,209,402.362,658,2090,402.362
1,1,10,0.1,18,1337,2576.73,4607,13370,2576.73
1,1,10,0.1,15,865,1853.87,3176,8650,1853.87
2,1,10,0.15,131,7988,15754.3,29034,79880,15754.3
2,1,10,0.15,13,941,1859.38,3483,9410,1859.38
2,1,10,0.15,34,3080,6093.27,11432,30800,6093.27
2,1,10,0.15,32,1802,3520.53,6221,18020,3520.53
2,1,10,0.15,17,1337,2603.52,4927,13370,2603.52
2,1,10,0.15,10,885,1657.54,3036,8850,1657.54
2,1,10,0.15,28,1794,3445.19,6335,17940,3445.19
2,1,10,0.15,105,5845,11617.1,21507,58450,11617.1
2,1,10,0.15,131,11588,23410.9,42372,115880,23410.9
2,1,10,0.15,34,1840,3672.76,6685,18400,3672.76
2,1,10,0.15,117,6521,12943.9,23539,65210,12943.9
2,1,10,0.15,8,688,1323.58,2308,6880,1323.58
2,1,10,0.15,110,5649,11375.1,20932,56490,11375.1
2,1,10,0.15,46,3309,6796.66,12431,33090,6796.66
2,1,10,0.15,26,1437,2747.86,5080,14370,2747.86
2,1,10,0.15,42,3159,6366.45,11803,31590,6366.45
2,1,10,0.15,27,1524,2934.82,5391,15240,2934.82
2,1,10,0.15,43,3100,6317.49,11497,31000,6317.49
2,1,10,0.15,4,366,736.935,1337,3660,736.935
2,1,10,0.15,49,4904,9742,17531,49040,9742
2,1,10,0.15,119,7763,15457.6,28235,77630,15457.6
2,1,10,0.15,105,9709,19251,35330,97090,19251
2,1,10,0.15,179,10592,21341.7,38572,105920,21341.7
2,1,10,0.15,34,1816,3590.47,6391,18160,3590.47
3,1,10,0.2,49,4129,8004.94,14302,41290,8004.94
3,1,10,0.2,159,11524,22434.4,39928,115240,22434.4
3,0,10,0.2,135,12794,25067.8,45366,127941,25067.8
3,1,10,0.2,47,4484,8639.39,15877,44840,8639.39
3,1,10,0.2,28,2733,5232.58,9606,27330,5232.58
3,0,10,0.2,241,12654,25126.9,45086,126550,25126.9
3,1,10,0.2,25,1456,2764.52,4783,14560,2764.52
3,1,10,0.2,31,2005,3890.16,7182,20050,3890.16
3,1,10,0.2,191,10553,20344.5,37067,105530,20344.5
3,1,10,0.2,52,2690,5144.16,9321,26900,5144.16
3,1,10,0.2,41,2772,5331.69,9471,27720,5331.69
3,0,10,0.2,231,13507,25999.7,46207,135070,25999.7
3,1,10,0.2,54,2771,5226.2,9790,27710,5226.2
3,1,10,0.2,104,5394,10468.6,19085,53940,10468.6
3,1,10,0.2,112,8998,17646.5,32481,89980,17646.5
3,1,10,0.2,8,741,1404.29,2549,7410,1404.29
3,1,10,0.2,47,2542,4972.43,8725,25420,4972.43
3,1,10,0.2,9,688,1335.74,2287,6880,1335.74
3,1,10,0.2,139,11963,23140,41378,119630,23140
3,1,10,0.2,20,1116,2208.09,3785,11160,2208.09
3,1,10,0.2,73,6542,12643.1,22878,65420,12643.1
3,1,10,0.2,44,3368,6511.17,11865,33680,6511.17
3,1,10,0.2,121,11996,23106.8,40763,119960,23106.8
3,0,10,0.2,155,13424,25944.4,45427,134240,25944.4
4,1,10,0.25,118,8037,14972.9,27029,80370,14972.9
4,1,10,0.25,121,9066,16925.3,29825,90660,16925.3
4,1,10,0.25,166,11458,21840.3,38666,114580,21840.3
4,0,10,0.25,194,13673,26027.4,44512,136740,26027.4
4,1,10,0.25,47,2490,4606.04,7945,24900,4606.04
4,0,10,0.25,182,13792,26332.6,45868,137930,26332.6
4,1,10,0.25,132,7267,13604,24196,72670,13604
4,0,10,0.25,186,13821,26444.4,46313,138220,26444.4
4,0,10,0.25,252,13879,26656.9,46006,138790,26656.9
4,1,10,0.25,215,13210,25093.4,43833,132100,25093.4
4,0,10,0.25,244,13866,26361.3,45761,138670,26361.3
4,1,10,0.25,44,3032,5653.05,9867,30320,5653.05
4,1,10,0.25,230,13408,25491.9,43333,134080,25491.9
4,0,10,0.25,254,13995,26688.3,45903,139957,26688.3
4,0,10,0.25,144,14009,26672.7,46882,140100,26672.7
4,0,10,0.25,147,13694,26416.8,45314,136950,26416.8
4,1,10,0.25,206,11193,21081.2,37201,111930,21081.2
4,1,10,0.25,7,569,1110.34,2010,5690,1110.34
4,1,10,0.25,88,7642,14414.8,25104,76420,14414.8
4,0,10,0.25,144,13634,26276.7,44861,136350,26276.7
4,0,10,0.25,231,13805,26361.9,45851,138060,26361.9
4,1,10,0.25,120,9995,18573.6,32538,99950,18573.6
4,0,10,0.25,169,13345,25973,45408,133456,25973
4,1,10,0.25,82,4937,9206.53,16104,49370,9206.53
5,0,10,0.3,272,14813,27631.4,44357,148140,27631.4
5,0,10,0.3,258,14373,27165.5,45426,143740,27165.5
5,0,10,0.3,170,14436,27268.8,45797,144366,27268.8
