id,completed,agents,randomJumpChance,learningRate,discountFactor,epsilon,moves,falls,jumps,time,totalTime
0,0,25,0.01,0.05,0.1,0.05,1,16068,107294,7983.57,190315
0,1,25,0.01,0.05,0.1,0.05,25,561,5447,391.979,9758.25
0,1,25,0.01,0.05,0.1,0.05,24,5182,40263,2672.87,65357.1
0,0,25,0.01,0.05,0.1,0.05,1,14976,114171,7788.66,185729
1,1,25,0.01,0.05,0.1,0.1,25,3808,22698,2032.83,50300
1,0,25,0.01,0.05,0.1,0.1,1,16449,91089,8875.06,211291
1,0,25,0.01,0.05,0.1,0.1,1,5444,31097,8678.47,206665
1,0,25,0.01,0.05,0.1,0.1,1,7933,69227,9548.07,227127
2,0,25,0.01,0.05,0.1,0.15,1,10633,54726,10524.6,250104
2,0,25,0.01,0.05,0.1,0.15,1,7744,68075,10169.7,241752
2,0,25,0.01,0.05,0.1,0.15,1,10179,61691,9168.43,218194
2,0,25,0.01,0.05,0.1,0.15,1,11984,76817,10008.9,237969
3,1,25,0.01,0.05,0.2,0.05,24,7924,53602,3565.25,86354.1
3,1,25,0.01,0.05,0.2,0.05,21,13297,103668,7601.69,181329
3,0,25,0.01,0.05,0.2,0.05,1,216,1767,9412.57,223938
3,1,25,0.01,0.05,0.2,0.05,23,4840,25331,1778.53,44360
4,1,25,0.01,0.05,0.2,0.1,21,5485,40650,5231.95,125571
4,0,25,0.01,0.05,0.2,0.1,1,11013,86539,8723.26,207719
4,0,25,0.01,0.05,0.2,0.1,1,10128,61155,9041.76,215213
4,0,25,0.01,0.05,0.2,0.1,1,8834,47047,10562.3,250991
5,0,25,0.01,0.05,0.2,0.15,1,12247,66933,10020.5,238244
5,0,25,0.01,0.05,0.2,0.15,1,3557,22264,9712.59,230998
5,0,25,0.01,0.05,0.2,0.15,1,15655,83054,8922.58,212409
5,0,25,0.01,0.05,0.2,0.15,1,12941,86611,9461.93,225100
6,0,25,0.01,0.05,0.3,0.05,1,3044,32705,9015.43,214594
6,0,25,0.01,0.05,0.3,0.05,1,5424,40741,8008.59,190904
6,1,25,0.01,0.05,0.3,0.05,26,574,6305,433.828,10798.7
6,1,25,0.01,0.05,0.3,0.05,23,9024,60482,4152.78,100179
7,0,25,0.01,0.05,0.3,0.1,1,15152,94772,8257.6,196763
7,0,25,0.01,0.05,0.3,0.1,1,11943,67498,9465.33,225180
7,0,25,0.01,0.05,0.3,0.1,1,20602,108903,9373.89,223028
7,1,25,0.01,0.05,0.3,0.1,22,9521,65803,6595.53,157655
8,0,25,0.01,0.05,0.3,0.15,1,16183,94118,9678.51,230196
8,0,25,0.01,0.05,0.3,0.15,1,16538,94166,10931.8,259685
8,0,25,0.01,0.05,0.3,0.15,1,11229,72761,10816.8,256980
8,0,25,0.01,0.05,0.3,0.15,1,15668,83683,10269.1,244093
9,0,25,0.01,0.1,0.1,0.05,1,950,7361,8933.83,212674
9,1,25,0.01,0.1,0.1,0.05,26,753,5605,397.621,9898.37
9,1,25,0.01,0.1,0.1,0.05,28,778,6922,491.904,12242.6
9,1,25,0.01,0.1,0.1,0.05,24,1626,15125,1055.1,26799.2
10,1,25,0.01,0.1,0.1,0.1,22,10651,72186,5628.63,134904
10,0,25,0.01,0.1,0.1,0.1,1,17002,100027,9367.38,222875
10,1,25,0.01,0.1,0.1,0.1,22,9287,53727,4388.37,105722
10,0,25,0.01,0.1,0.1,0.1,1,5586,35476,11039.4,262291
11,0,25,0.01,0.1,0.1,0.15,1,9789,55803,10787.2,256283
11,0,25,0.01,0.1,0.1,0.15,1,11994,79070,9926.65,236035
11,0,25,0.01,0.1,0.1,0.15,1,4670,26752,13912.1,397474
11,0,25,0.01,0.1,0.1,0.15,1,18663,107728,9558.22,227365
12,1,25,0.01,0.1,0.2,0.05,25,1132,11544,826.339,20787.8
12,1,25,0.01,0.1,0.2,0.05,25,3086,29406,1982.19,49117.1
12,0,25,0.01,0.1,0.2,0.05,1,5250,45714,10679.8,253756
12,1,25,0.01,0.1,0.2,0.05,26,471,3837,284.592,7088.22
13,0,25,0.01,0.1,0.2,0.1,1,7681,49339,10244.9,243523
13,0,25,0.01,0.1,0.2,0.1,1,11094,68523,9971.03,237079
13,1,25,0.01,0.1,0.2,0.1,24,6118,31520,2451.02,60137
13,0,25,0.01,0.1,0.2,0.1,1,19073,96699,9457.73,225001
14,0,25,0.01,0.1,0.2,0.15,1,12863,78149,10650.2,253060
14,1,25,0.01,0.1,0.2,0.15,22,4426,31377,2488.69,61023.3
14,1,25,0.01,0.1,0.2,0.15,21,4101,27551,2148.66,53022.7
14,0,25,0.01,0.1,0.2,0.15,1,17958,112046,9845.92,234135
15,1,25,0.01,0.1,0.3,0.05,25,1715,16006,1096.49,27887.1
15,0,25,0.01,0.1,0.3,0.05,1,6070,44725,9930.24,236119
15,1,25,0.01,0.1,0.3,0.05,28,1012,8712,575.619,14321.1
15,1,25,0.01,0.1,0.3,0.05,25,2218,18193,1190.55,30358.3
16,0,25,0.01,0.1,0.3,0.1,1,3178,26529,10277,244279
16,0,25,0.01,0.1,0.3,0.1,1,15153,94479,10496.4,249440
16,1,25,0.01,0.1,0.3,0.1,26,541,4168,324.355,8076.66
16,1,25,0.01,0.1,0.3,0.1,25,2036,14182,1142.88,29105.9
17,0,25,0.01,0.1,0.3,0.15,1,11741,88487,10188.2,242188
17,0,25,0.01,0.1,0.3,0.15,1,17084,102317,10022.7,238294
17,0,25,0.01,0.1,0.3,0.15,1,11339,60853,10618.4,252312
17,0,25,0.01,0.1,0.3,0.15,1,20297,111048,9459.72,225048
18,1,25,0.01,0.15,0.1,0.05,27,2185,15745,1050.9,26689.2
18,0,25,0.01,0.15,0.1,0.05,1,20650,112440,8385.9,199781
18,1,25,0.01,0.15,0.1,0.05,25,1158,10105,725.73,18144.4
18,1,25,0.01,0.15,0.1,0.05,24,365,3606,296.628,7387.43
19,0,25,0.01,0.15,0.1,0.1,1,9659,49569,10259.9,243876
19,0,25,0.01,0.15,0.1,0.1,1,1459,10014,11446.6,281452
19,0,25,0.01,0.15,0.1,0.1,1,7936,60774,9477.1,225457
19,0,25,0.01,0.15,0.1,0.1,1,7211,42233,10802.4,256641
20,0,25,0.01,0.15,0.1,0.15,1,8718,43591,11054.2,262985
20,0,25,0.01,0.15,0.1,0.15,1,11823,62256,10215.4,242829
20,0,25,0.01,0.15,0.1,0.15,1,6720,37149,11154.2,267693
20,0,25,0.01,0.15,0.1,0.15,1,18468,97861,9756.62,232034
21,1,25,0.01,0.15,0.2,0.05,25,8252,81658,5631.58,134974
21,1,25,0.01,0.15,0.2,0.05,26,14644,97040,8240.02,196349
21,1,25,0.01,0.15,0.2,0.05,27,9893,59689,5461.03,130961
21,1,25,0.01,0.15,0.2,0.05,25,1212,12492,882.364,22260.1
22,0,25,0.01,0.15,0.2,0.1,1,19004,119159,9325.83,221897
22,0,25,0.01,0.15,0.2,0.1,1,11884,72957,11342.2,276539
22,1,25,0.01,0.15,0.2,0.1,23,4469,34252,4204.59,101398
22,1,25,0.01,0.15,0.2,0.1,25,2159,14059,1489.6,37611.5
23,0,25,0.01,0.15,0.2,0.15,1,14260,74109,10057.9,239122
23,1,25,0.01,0.15,0.2,0.15,23,3917,25766,2007.8,49715.2
23,0,25,0.01,0.15,0.2,0.15,1,21165,117528,9916.83,235803
23,0,25,0.01,0.15,0.2,0.15,1,7270,54068,10843.6,257610
24,1,25,0.01,0.15,0.3,0.05,24,940,7677,550.684,13702.2
24,0,25,0.01,0.15,0.3,0.05,1,6323,62387,9038.22,215130
24,1,25,0.01,0.15,0.3,0.05,25,2045,15867,1122.38,28567.4
24,1,25,0.01,0.15,0.3,0.05,25,3318,31337,2120.68,52364.6
25,1,25,0.01,0.15,0.3,0.1,24,2181,19413,1456,36826.7
25,0,25,0.01,0.15,0.3,0.1,1,15921,104841,8858.18,210894
25,0,25,0.01,0.15,0.3,0.1,1,11081,81960,9502.57,226056
25,1,25,0.01,0.15,0.3,0.1,24,1757,13767,1001.72,25396.7
26,0,25,0.01,0.15,0.3,0.15,1,3356,22346,10922.3,259462
26,0,25,0.01,0.15,0.3,0.15,1,6809,35324,11394.8,279013
26,0,25,0.01,0.15,0.3,0.15,1,17330,92037,10187.1,242164
26,0,25,0.01,0.15,0.3,0.15,1,16514,87454,10085.3,239767
27,1,50,0.01,0.05,0.1,0.05,23,11187,90684,3678.27,175230
27,1,50,0.01,0.05,0.1,0.05,23,4584,30355,1036.51,51258.5
27,1,50,0.01,0.05,0.1,0.05,24,949,9301,319.647,15905.3
27,1,50,0.01,0.05,0.1,0.05,26,503,5485,200.909,10001.4
28,1,50,0.01,0.05,0.1,0.1,26,2766,14438,526.736,26779
28,0,50,0.01,0.05,0.1,0.1,1,15502,114834,4406.29,209490
28,1,50,0.01,0.05,0.1,0.1,25,5329,39698,1405.96,68518.6
28,1,50,0.01,0.05,0.1,0.1,22,4166,30642,1191.47,58498.2
29,0,50,0.01,0.05,0.1,0.15,1,13635,88192,4621.34,219610
29,0,50,0.01,0.05,0.1,0.15,1,18588,107630,4551.33,216315
29,1,50,0.01,0.05,0.1,0.15,23,9944,76807,3715.43,176978
29,1,50,0.01,0.05,0.1,0.15,21,8573,53514,2126.54,102207
30,1,50,0.01,0.05,0.2,0.05,22,4380,35790,1241.67,60843.3
30,1,50,0.01,0.05,0.2,0.05,25,6125,53680,1818.3,87780.8
30,1,50,0.01,0.05,0.2,0.05,24,10332,81742,2628.97,125851
30,1,50,0.01,0.05,0.2,0.05,21,3827,28654,1735.69,83921.4
31,1,50,0.01,0.05,0.2,0.1,25,1689,14855,518.307,26336.4
31,0,50,0.01,0.05,0.2,0.1,1,9792,82179,4631.98,220111
31,1,50,0.01,0.05,0.2,0.1,24,6915,46929,1659.39,80357.3
31,1,50,0.01,0.05,0.2,0.1,22,2013,15499,581.773,29671.6
32,0,50,0.01,0.05,0.2,0.15,1,7850,53118,4901.61,232799
32,0,50,0.01,0.05,0.2,0.15,1,11913,72648,4648.79,220901
32,1,50,0.01,0.05,0.2,0.15,21,11875,77121,4300.77,204524
32,0,50,0.01,0.05,0.2,0.15,1,17602,107083,4520.94,214885
33,0,50,0.01,0.05,0.3,0.05,1,6338,48559,4826.27,229254
33,1,50,0.01,0.05,0.3,0.05,27,940,10486,371.93,18630.1
33,1,50,0.01,0.05,0.3,0.05,25,2990,29974,1054.42,52095.8
33,1,50,0.01,0.05,0.3,0.05,25,1478,12753,445.43,22499.9
34,1,50,0.01,0.05,0.3,0.1,24,2930,22580,807.542,40562.7
34,1,50,0.01,0.05,0.3,0.1,22,9638,68918,2637.46,126250
34,1,50,0.01,0.05,0.3,0.1,22,4440,36821,1357.73,66265.1
34,1,50,0.01,0.05,0.3,0.1,23,6720,42333,2316.25,111135
35,1,50,0.01,0.05,0.3,0.15,21,11026,76024,3130.26,149441
35,1,50,0.01,0.05,0.3,0.15,23,7799,48003,1934.93,93229.4
35,0,50,0.01,0.05,0.3,0.15,1,16935,102221,4644.15,220683
35,0,50,0.01,0.05,0.3,0.15,1,16996,114502,4652.04,221054
36,0,50,0.01,0.1,0.1,0.05,1,9145,66548,4160.9,197942
36,1,50,0.01,0.1,0.1,0.05,25,3235,22387,719.392,36444.5
36,0,50,0.01,0.1,0.1,0.05,1,1088,11560,5408.06,256632
36,1,50,0.01,0.1,0.1,0.05,24,1142,8578,311.434,15497.1
37,1,50,0.01,0.1,0.1,0.1,23,4429,33872,1202.25,59001.6
37,0,50,0.01,0.1,0.1,0.1,1,2872,20119,4511.21,214427
37,0,50,0.01,0.1,0.1,0.1,1,6570,45509,5042.34,239422
37,0,50,0.01,0.1,0.1,0.1,1,13890,90588,4421.79,210219
38,0,50,0.01,0.1,0.1,0.15,1,16545,96504,4778.34,226998
38,0,50,0.01,0.1,0.1,0.15,1,18199,108250,4769.03,226560
38,1,50,0.01,0.1,0.1,0.15,22,8958,56871,2376.03,113948
38,1,50,0.01,0.1,0.1,0.15,23,2865,19172,739.878,37402
39,0,50,0.01,0.1,0.2,0.05,1,2544,21972,4643.62,220658
39,1,50,0.01,0.1,0.2,0.05,26,1347,12766,431.725,21778.1
39,1,50,0.01,0.1,0.2,0.05,25,532,5643,199.39,9925.81
39,1,50,0.01,0.1,0.2,0.05,26,1078,9127,332.584,16558.2
40,1,50,0.01,0.1,0.2,0.1,27,5072,41884,1529.05,74268
40,1,50,0.01,0.1,0.2,0.1,24,2448,18086,693.437,35232.5
40,1,50,0.01,0.1,0.2,0.1,23,2888,24217,837.762,41974.5
40,0,50,0.01,0.1,0.2,0.1,1,17120,110305,4470.77,212524
41,0,50,0.01,0.1,0.2,0.15,1,15033,94277,4457.65,211907
41,1,50,0.01,0.1,0.2,0.15,24,1772,13055,478.382,24235
41,1,50,0.01,0.1,0.2,0.15,22,14063,78863,3109.26,148453
41,0,50,0.01,0.1,0.2,0.15,1,15412,98261,4721.43,224320
42,1,50,0.01,0.1,0.3,0.05,23,2014,18008,614.618,31398
42,1,50,0.01,0.1,0.3,0.05,25,633,6274,215.766,10740.1
42,1,50,0.01,0.1,0.3,0.05,26,3816,25563,868.383,43405.1
42,0,50,0.01,0.1,0.3,0.05,1,6913,52806,4188.74,199252
43,1,50,0.01,0.1,0.3,0.1,24,12816,106692,4625.78,219818
43,1,50,0.01,0.1,0.3,0.1,23,2740,21285,747.103,37739.5
43,1,50,0.01,0.1,0.3,0.1,22,4458,36148,1318.21,64419.2
43,0,50,0.01,0.1,0.3,0.1,1,5540,37948,6545.1,358135
44,0,50,0.01,0.1,0.3,0.15,1,16850,98198,5029.86,238834
44,1,50,0.01,0.1,0.3,0.15,22,11266,67524,3439.89,164012
44,0,50,0.01,0.1,0.3,0.15,1,17457,108937,4629.21,219980
44,0,50,0.01,0.1,0.3,0.15,1,17694,109086,4526.45,215144
45,1,50,0.01,0.15,0.1,0.05,25,3167,27261,916.413,45648.3
45,1,50,0.01,0.15,0.1,0.05,24,1780,16996,581.656,29665.6
45,1,50,0.01,0.15,0.1,0.05,24,3042,22992,827.744,41506.3
45,1,50,0.01,0.15,0.1,0.05,22,5202,36895,1322.95,64640.1
46,1,50,0.01,0.15,0.1,0.1,23,829,7630,279.851,13926.4
46,0,50,0.01,0.15,0.1,0.1,1,16329,121942,4451.67,211626
46,0,50,0.01,0.15,0.1,0.1,1,15985,105804,4267.76,202971
46,1,50,0.01,0.15,0.1,0.1,26,1261,10678,378.491,18975.8
47,1,50,0.01,0.15,0.1,0.15,22,4337,30181,1151.83,56646
47,1,50,0.01,0.15,0.1,0.15,23,1290,9116,358.576,17926.5
47,0,50,0.01,0.15,0.1,0.15,1,15763,98459,4700.17,223319
47,1,50,0.01,0.15,0.1,0.15,22,11003,66341,2640.33,126385
48,1,50,0.01,0.15,0.2,0.05,23,5041,44865,1406.26,68532.1
48,1,50,0.01,0.15,0.2,0.05,24,1903,17142,653.3,33356.9
48,1,50,0.01,0.15,0.2,0.05,23,2220,16029,589.215,30063.3
48,1,50,0.01,0.15,0.2,0.05,25,2162,18606,628.148,32109.3
49,0,50,0.01,0.15,0.2,0.1,1,15699,93036,4286.41,203848
49,1,50,0.01,0.15,0.2,0.1,24,8190,55852,2207.39,106012
49,1,50,0.01,0.15,0.2,0.1,24,5197,33015,1198.98,58848.3
49,1,50,0.01,0.15,0.2,0.1,24,2278,19099,651.042,33251.5
50,1,50,0.01,0.15,0.2,0.15,23,8082,51586,2071.23,99604.4
50,0,50,0.01,0.15,0.2,0.15,1,19237,101414,4827.63,229318
50,0,50,0.01,0.15,0.2,0.15,1,6334,37248,4876.39,231612
50,0,50,0.01,0.15,0.2,0.15,1,19788,104701,4697.13,223176
51,1,50,0.01,0.15,0.3,0.05,25,473,5610,198.873,9900.27
51,1,50,0.01,0.15,0.3,0.05,26,489,5399,193.548,9634.98
51,1,50,0.01,0.15,0.3,0.05,22,16061,109024,3667.98,174746
51,1,50,0.01,0.15,0.3,0.05,24,3314,29865,1044.06,51612
52,1,50,0.01,0.15,0.3,0.1,25,1789,12295,451.74,22832.4
52,0,50,0.01,0.15,0.3,0.1,1,11749,84529,4361.56,207385
52,1,50,0.01,0.15,0.3,0.1,25,11855,82802,2799.77,133888
52,1,50,0.01,0.15,0.3,0.1,22,3503,22181,832.092,41709.3
53,1,50,0.01,0.15,0.3,0.15,23,2413,17618,695.293,35319.3
53,0,50,0.01,0.15,0.3,0.15,1,11308,95498,4938.55,234537
53,0,50,0.01,0.15,0.3,0.15,1,10488,75857,4998.31,237350
53,1,50,0.01,0.15,0.3,0.15,22,10515,70785,2709.22,129628
54,1,75,0.01,0.05,0.1,0.05,27,686,7662,178.424,13318.1
54,1,75,0.01,0.05,0.1,0.05,24,7608,50813,1275.82,92258.5
54,1,75,0.01,0.05,0.1,0.05,23,4633,47566,1107.65,80474.1
54,1,75,0.01,0.05,0.1,0.05,22,3754,29945,768.576,56714.7
55,1,75,0.01,0.05,0.1,0.1,23,4663,37837,1138.92,82666.1
55,1,75,0.01,0.05,0.1,0.1,23,3873,27097,618.615,46206.4
55,1,75,0.01,0.05,0.1,0.1,22,9751,74876,1856.52,132950
55,0,75,0.01,0.05,0.1,0.1,1,19385,127497,3251.76,231340
56,1,75,0.01,0.05,0.1,0.15,21,10007,57394,1514.63,108993
56,1,75,0.01,0.05,0.1,0.15,23,5604,37338,906.228,66360.5
56,0,75,0.01,0.05,0.1,0.15,1,22165,131428,3389.87,241089
56,1,75,0.01,0.05,0.1,0.15,22,3308,23266,587.61,44033.7
57,1,75,0.01,0.05,0.2,0.05,26,3649,31869,675.994,50226.8
57,1,75,0.01,0.05,0.2,0.05,24,3005,25330,707.752,52453.1
57,1,75,0.01,0.05,0.2,0.05,22,7031,62906,1485.28,106937
